product_id,timestamp,price,midprice,log_return,spread_abs,spread_bps,vol_60s,mean_return_60s,n_ticks_60s,trade_intensity_60s,spread_mean_60s,price_range_60s,future_vol_60s,vol_spike
BTC-USD,2026-04-06T15:02:34.590029066Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,1,0.016666666666666666,0.010000000009313226,0.0,2.8006720850536146e-05,0
BTC-USD,2026-04-06T15:02:34.590029066Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,2,0.03333333333333333,0.010000000009313226,0.0,2.8006720850536146e-05,0
BTC-USD,2026-04-06T15:02:34.840682702Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,3,0.05,0.010000000009313226,0.0,2.796964441596762e-05,0
BTC-USD,2026-04-06T15:02:34.840682702Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,4,0.06666666666666667,0.010000000009313226,0.0,2.796964441596762e-05,0
BTC-USD,2026-04-06T15:02:35.087776268Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,5,0.08333333333333333,0.010000000009313226,0.0,2.796964441596762e-05,0
BTC-USD,2026-04-06T15:02:35.087776268Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,6,0.1,0.010000000009313226,0.0,2.796964441596762e-05,0
BTC-USD,2026-04-06T15:02:35.340169409Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,7,0.11666666666666667,0.010000000009313226,0.0,2.796964441596762e-05,0
BTC-USD,2026-04-06T15:02:35.340169409Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,8,0.13333333333333333,0.010000000009313226,0.0,2.796964441596762e-05,0
BTC-USD,2026-04-06T15:02:35.587742522Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,9,0.15,0.010000000009313226,0.0,2.7934254304199332e-05,0
BTC-USD,2026-04-06T15:02:35.587742522Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,10,0.16666666666666666,0.010000000009313226,0.0,2.7934254304199332e-05,0
BTC-USD,2026-04-06T15:02:35.763637311Z,69705.91,69705.905,1.4345986924098155e-07,0.010000000009313226,0.0014345986913609724,4.3037960772294464e-08,1.4345986924098156e-08,11,0.18333333333333332,0.010000000009313226,0.010000000009313226,2.7934242514699763e-05,0
BTC-USD,2026-04-06T15:02:35.763637311Z,69705.91,69705.905,0.0,0.010000000009313226,0.0014345986913609724,4.1241812693766616e-08,1.3041806294634686e-08,12,0.2,0.010000000009313226,0.010000000009313226,2.7934242514699763e-05,0
BTC-USD,2026-04-06T15:02:35.841715768Z,69705.91,69705.905,0.0,0.010000000009313226,0.0014345986913609724,3.965021322881529e-08,1.195498910341513e-08,13,0.21666666666666667,0.010000000009313226,0.010000000009313226,2.79711837563054e-05,0
BTC-USD,2026-04-06T15:02:35.841715768Z,69705.91,69705.905,0.0,0.010000000009313226,0.0014345986913609724,3.822765882654887e-08,1.103537455699858e-08,14,0.23333333333333334,0.010000000009313226,0.010000000009313226,2.79711837563054e-05,0
BTC-USD,2026-04-06T15:02:36.089040062Z,69705.91,69705.905,0.0,0.010000000009313226,0.0014345986913609724,3.694656532283701e-08,1.0247133517212969e-08,15,0.25,0.010000000009313226,0.010000000009313226,2.7949897972486004e-05,0
BTC-USD,2026-04-06T15:02:36.089040062Z,69705.91,69705.905,0.0,0.010000000009313226,0.0014345986913609724,3.578517863007616e-08,9.563991282732103e-09,16,0.26666666666666666,0.010000000009313226,0.010000000009313226,2.7949897972486004e-05,0
BTC-USD,2026-04-06T15:02:36.33958347Z,69705.91,69705.905,0.0,0.010000000009313226,0.0014345986913609724,3.472610527621345e-08,8.966241827561347e-09,17,0.2833333333333333,0.010000000009313226,0.010000000009313226,2.7949897972486004e-05,0
BTC-USD,2026-04-06T15:02:36.33958347Z,69705.91,69705.905,0.0,0.010000000009313226,0.0014345986913609724,3.375526335081919e-08,8.438815837704798e-09,18,0.3,0.010000000009313226,0.010000000009313226,2.7949897972486004e-05,0
